id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;value;unit;tags;method;source;comment;year
1;58;["BB"];air;electricity;added capacity;wind turbine;onshore;1.64E-14;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
2;58;["BB"];air;electricity;capacity;wind turbine;onshore;5.70003375;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
3;58;["BB"];biogas;electricity;added capacity;generator;combustion engine;1.10E-15;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
4;58;["BB"];biogas;electricity;capacity;generator;combustion engine;0.264;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
5;58;["BB"];biomass;electricity;added capacity;generator;steam;2.31E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
6;58;["BB"];biomass;electricity;capacity;generator;steam;0.428;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
7;58;["BB"];electricity;electricity;added capacity;electrolyser;alkaline;3.01E-13;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
8;58;["BB"];electricity;electricity;capacity;electrolyser;alkaline;3.01E-13;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
9;58;["BB"];heat;electricity;added capacity;geothermal;unknown;0.530764927;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
10;58;["BB"];heat;electricity;capacity;geothermal;unknown;0.530764927;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
11;58;["BB"];hydrogen;electricity;added capacity;generator;gas;1.59E-13;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
12;58;["BB"];hydrogen;electricity;capacity;generator;gas;1.59E-13;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
13;58;["BB"];light oil;electricity;added capacity;chp;gas;6.28E-14;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
14;58;["BB"];light oil;electricity;capacity;chp;gas;0.0002136;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
15;58;["BB"];light oil;electricity;added capacity;generator;gas;3.91E-15;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
16;58;["BB"];light oil;electricity;capacity;generator;gas;0.03790614;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
17;58;["BB"];lignite;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
18;58;["BB"];lignite;electricity;capacity;chp;steam;1.5;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
19;58;["BB"];natural gas;electricity;added capacity;chp;combined cycle;1.96E-17;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
20;58;["BB"];natural gas;electricity;capacity;chp;combined cycle;0.1909274;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
21;58;["BB"];natural gas;electricity;added capacity;chp;combustion engine;3.83E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
22;58;["BB"];natural gas;electricity;capacity;chp;combustion engine;0.05120375;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
23;58;["BB"];natural gas;electricity;added capacity;chp;gas;1.88E-15;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
24;58;["BB"];natural gas;electricity;capacity;chp;gas;0.0464045;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
25;58;["BB"];natural gas;electricity;added capacity;generator;combined cycle;3.58E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
26;58;["BB"];natural gas;electricity;capacity;generator;combined cycle;0.24431;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
27;58;["BB"];natural gas;electricity;added capacity;generator;combustion engine;5.15E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
28;58;["BB"];natural gas;electricity;capacity;generator;combustion engine;0.0077227;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
29;58;["BB"];natural gas;electricity;added capacity;generator;gas;9.48E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
30;58;["BB"];natural gas;electricity;capacity;generator;gas;0.3302014;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
31;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
32;58;["BB"];solar radiation;electricity;capacity;photovoltaics;rooftop;0.295966873;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
33;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;utility;3.582465865;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
34;58;["BB"];solar radiation;electricity;capacity;photovoltaics;utility;6.022662092;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
35;58;["BB"];waste;electricity;added capacity;chp;steam;8.00E-17;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
36;58;["BB"];waste;electricity;capacity;chp;steam;0.161204;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
37;58;["BB"];waste;electricity;added capacity;generator;steam;2.95E-16;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
38;58;["BB"];waste;electricity;capacity;generator;steam;0.0036;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
39;58;["BB"];water;electricity;added capacity;hydro turbine;run-of-river;2.26E-18;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
40;58;["BB"];water;electricity;capacity;hydro turbine;run-of-river;0.00357804;GW;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
41;58;["BB"];air;electricity;electricity generation;wind turbine;onshore;8025.887199;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
42;58;["BB"];air;electricity;primary energy consumption;wind turbine;onshore;8025887.199;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
43;58;["BB"];biogas;electricity;electricity generation;generator;combustion engine;6.983376591;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
44;58;["BB"];biogas;electricity;primary energy consumption;generator;combustion engine;15518.61465;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
45;58;["BB"];biomass;electricity;electricity generation;generator;steam;1.344212999;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
46;58;["BB"];biomass;electricity;primary energy consumption;generator;steam;8961.419995;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
47;58;["BB"];heat;electricity;electricity generation;geothermal;unknown;4558.668361;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
48;58;["BB"];heat;electricity;primary energy consumption;geothermal;unknown;18994451.5;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
49;58;["BB"];hydrogen;electricity;electricity generation;generator;gas;2.64E-10;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
50;58;["BB"];hydrogen;electricity;primary energy consumption;generator;gas;5.28E-07;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
51;58;["BB"];light oil;electricity;electricity generation;chp;gas;0.0102528;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
52;58;["BB"];light oil;electricity;emissions;chp;gas;5.48E-09;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
53;58;["BB"];light oil;electricity;primary energy consumption;chp;gas;23.84372101;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
54;58;["BB"];light oil;electricity;electricity generation;generator;gas;1.51475672;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
55;58;["BB"];light oil;electricity;emissions;generator;gas;8.30E-07;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
56;58;["BB"];light oil;electricity;primary energy consumption;generator;gas;3606.563619;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
57;58;["BB"];lignite;electricity;electricity generation;chp;steam;6779.646321;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
58;58;["BB"];lignite;electricity;emissions;chp;steam;0.005215113;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
59;58;["BB"];lignite;electricity;primary energy consumption;chp;steam;13037781.39;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
60;58;["BB"];natural gas;electricity;electricity generation;chp;combined cycle;306.3735843;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
61;58;["BB"];natural gas;electricity;emissions;chp;combined cycle;0.000115613;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
62;58;["BB"];natural gas;electricity;primary energy consumption;chp;combined cycle;578063.3666;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
63;58;["BB"];natural gas;electricity;electricity generation;chp;combustion engine;13.57530772;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
64;58;["BB"];natural gas;electricity;emissions;chp;combustion engine;5.66E-06;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
65;58;["BB"];natural gas;electricity;primary energy consumption;chp;combustion engine;28281.89108;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
66;58;["BB"];natural gas;electricity;electricity generation;chp;gas;5.070984586;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
67;58;["BB"];natural gas;electricity;emissions;chp;gas;2.36E-06;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
68;58;["BB"];natural gas;electricity;primary energy consumption;chp;gas;11792.98741;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
69;58;["BB"];natural gas;electricity;electricity generation;generator;combined cycle;674.7915496;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
70;58;["BB"];natural gas;electricity;emissions;generator;combined cycle;0.000221243;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
71;58;["BB"];natural gas;electricity;primary energy consumption;generator;combined cycle;1106215.655;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
72;58;["BB"];natural gas;electricity;electricity generation;generator;combustion engine;2.047476414;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
73;58;["BB"];natural gas;electricity;emissions;generator;combustion engine;8.53E-07;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
74;58;["BB"];natural gas;electricity;primary energy consumption;generator;combustion engine;4265.575863;MWh/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
75;58;["BB"];natural gas;electricity;electricity generation;generator;gas;137.8871412;GWh;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
76;58;["BB"];natural gas;electricity;emissions;generator;gas;5.52E-05;Gt/a;"{""scenario"": ""ID8""}";"{""value"": ""aggregated""}";urbs;;2030
