id;scenario_id;region;input_energy_vector;output_energy_vector;parameter_name;technology;technology_type;value;unit;tags;method;source;comment;year
13;58;["BB"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
15;58;["BB"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
17;58;["BB"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
19;58;["BB"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
21;58;["BB"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
23;58;["BB"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
25;58;["BB"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
27;58;["BB"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
29;58;["BB"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
33;58;["BB"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
35;58;["BB"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
37;58;["BB"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
69;58;["BE"];biogas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
79;58;["BE"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
81;58;["BE"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
83;58;["BE"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
85;58;["BE"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
87;58;["BE"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
89;58;["BE"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
91;58;["BE"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
93;58;["BE"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
95;58;["BE"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
99;58;["BE"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
101;58;["BE"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
103;58;["BE"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
133;58;["BW"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
135;58;["BW"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
137;58;["BW"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
139;58;["BW"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
141;58;["BW"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
143;58;["BW"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
145;58;["BW"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
147;58;["BW"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
149;58;["BW"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
153;58;["BW"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
155;58;["BW"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
157;58;["BW"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
196;58;["BY"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
198;58;["BY"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
200;58;["BY"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
202;58;["BY"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
204;58;["BY"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
206;58;["BY"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
208;58;["BY"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
210;58;["BY"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
212;58;["BY"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
216;58;["BY"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
218;58;["BY"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
220;58;["BY"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
248;58;["HB"];air;electricity;added capacity;wind turbine;onshore;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
250;58;["HB"];biogas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
260;58;["HB"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
262;58;["HB"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
264;58;["HB"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
266;58;["HB"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
268;58;["HB"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
270;58;["HB"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
272;58;["HB"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
274;58;["HB"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
276;58;["HB"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
280;58;["HB"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
282;58;["HB"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
284;58;["HB"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
316;58;["HE"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
318;58;["HE"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
320;58;["HE"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
322;58;["HE"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
324;58;["HE"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
326;58;["HE"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
328;58;["HE"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
330;58;["HE"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
332;58;["HE"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
336;58;["HE"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
338;58;["HE"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
340;58;["HE"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
371;58;["HH"];biogas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
381;58;["HH"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
383;58;["HH"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
385;58;["HH"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
387;58;["HH"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
389;58;["HH"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
391;58;["HH"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
393;58;["HH"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
395;58;["HH"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
397;58;["HH"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
401;58;["HH"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
403;58;["HH"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
405;58;["HH"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
438;58;["MV"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
440;58;["MV"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
442;58;["MV"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
444;58;["MV"];natural gas;electricity;added capacity;chp;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
446;58;["MV"];natural gas;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
448;58;["MV"];natural gas;electricity;added capacity;generator;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
450;58;["MV"];natural gas;electricity;added capacity;generator;combustion engine;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
452;58;["MV"];natural gas;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
454;58;["MV"];solar radiation;electricity;added capacity;photovoltaics;rooftop;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
458;58;["MV"];waste;electricity;added capacity;chp;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
460;58;["MV"];waste;electricity;added capacity;generator;steam;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
462;58;["MV"];water;electricity;added capacity;hydro turbine;run-of-river;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
502;58;["NI"];light oil;electricity;added capacity;chp;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
504;58;["NI"];light oil;electricity;added capacity;generator;gas;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
506;58;["NI"];natural gas;electricity;added capacity;chp;combined cycle;0;GW;"{""scenario"": ""ID9""}";"{""value"": ""aggregated""}";urbs;;2050
